month,district,soil_type,N,P,K,temperature,humidity,ph,rainfall,label
Jan,Warangal,Loamy,40,30,20,20.0,60,6.0,80,Rice
Feb,Hanamkonda,Clay,41,31,21,20.8,62,6.1,88,Rice
Mar,Karimnagar,Sandy,42,32,22,21.6,64,6.2,96,Rice
Apr,Warangal,Loamy,43,33,20,22.4,66,6.0,104,Rice
May,Hanamkonda,Clay,44,30,21,23.2,68,6.1,112,Rice
Jun,Karimnagar,Sandy,40,31,22,24.0,70,6.2,120,Rice
Jul,Warangal,Loamy,41,32,20,24.8,72,6.0,128,Rice
Aug,Hanamkonda,Clay,42,33,21,25.6,74,6.1,136,Rice
Sep,Karimnagar,Sandy,43,30,22,26.4,76,6.2,144,Rice
Oct,Warangal,Loamy,44,31,20,27.2,78,6.0,152,Rice
Nov,Hanamkonda,Clay,40,32,21,28.0,80,6.1,160,Rice
Dec,Karimnagar,Sandy,41,33,22,28.8,82,6.2,168,Rice
Jan,Hanamkonda,Clay,50,35,24,21.0,61,6.1,95,Cotton
Feb,Karimnagar,Sandy,51,36,25,21.8,63,6.2,103,Cotton
Mar,Warangal,Loamy,52,37,26,22.6,65,6.3,111,Cotton
Apr,Hanamkonda,Clay,53,38,24,23.4,67,6.1,119,Cotton
May,Karimnagar,Sandy,54,35,25,24.2,69,6.2,127,Cotton
Jun,Warangal,Loamy,50,36,26,25.0,71,6.3,135,Cotton
Jul,Hanamkonda,Clay,51,37,24,25.8,73,6.1,143,Cotton
Aug,Karimnagar,Sandy,52,38,25,26.6,75,6.2,151,Cotton
Sep,Warangal,Loamy,53,35,26,27.4,77,6.3,159,Cotton
Oct,Hanamkonda,Clay,54,36,24,28.2,79,6.1,167,Cotton
Nov,Karimnagar,Sandy,50,37,25,29.0,81,6.2,175,Cotton
Dec,Warangal,Loamy,51,38,26,29.8,83,6.3,183,Cotton
Jan,Karimnagar,Sandy,60,40,28,22.0,62,6.2,110,Maize
Feb,Warangal,Loamy,61,41,29,22.8,64,6.3,118,Maize
Mar,Hanamkonda,Clay,62,42,30,23.6,66,6.4,126,Maize
Apr,Karimnagar,Sandy,63,43,28,24.4,68,6.2,134,Maize
May,Warangal,Loamy,64,40,29,25.2,70,6.3,142,Maize
Jun,Hanamkonda,Clay,60,41,30,26.0,72,6.4,150,Maize
Jul,Karimnagar,Sandy,61,42,28,26.8,74,6.2,158,Maize
Aug,Warangal,Loamy,62,43,29,27.6,76,6.3,166,Maize
Sep,Hanamkonda,Clay,63,40,30,28.4,78,6.4,174,Maize
Oct,Karimnagar,Sandy,64,41,28,29.2,80,6.2,182,Maize
Nov,Warangal,Loamy,60,42,29,30.0,82,6.3,190,Maize
Dec,Hanamkonda,Clay,61,43,30,30.8,84,6.4,198,Maize
Jan,Warangal,Loamy,70,45,32,23.0,63,6.3,125,Wheat
Feb,Hanamkonda,Clay,71,46,33,23.8,65,6.4,133,Wheat
Mar,Karimnagar,Sandy,72,47,34,24.6,67,6.5,141,Wheat
Apr,Warangal,Loamy,73,48,32,25.4,69,6.3,149,Wheat
May,Hanamkonda,Clay,74,45,33,26.2,71,6.4,157,Wheat
Jun,Karimnagar,Sandy,70,46,34,27.0,73,6.5,165,Wheat
Jul,Warangal,Loamy,71,47,32,27.8,75,6.3,173,Wheat
Aug,Hanamkonda,Clay,72,48,33,28.6,77,6.4,181,Wheat
Sep,Karimnagar,Sandy,73,45,34,29.4,79,6.5,189,Wheat
Oct,Warangal,Loamy,74,46,32,30.2,81,6.3,197,Wheat
Nov,Hanamkonda,Clay,70,47,33,31.0,83,6.4,205,Wheat
Dec,Karimnagar,Sandy,71,48,34,31.8,85,6.5,213,Wheat
Jan,Hanamkonda,Clay,80,50,36,24.0,64,6.4,140,Sugarcane
Feb,Karimnagar,Sandy,81,51,37,24.8,66,6.5,148,Sugarcane
Mar,Warangal,Loamy,82,52,38,25.6,68,6.6,156,Sugarcane
